chembl_id,smiles,mw,logp
CHEMBL504429,O=P(O)(O)C(CSc1ncc[nH]1)P(=O)(O)O,288.16,0.18
CHEMBL498849,CCNc1ccc(NC(=N)N)cc1,178.24,1.42
CHEMBL499523,CC(C)(C)C(N)C(=O)N1CCCC1C#N,209.29,0.87
CHEMBL509195,Cn1nc(C(F)(F)F)c(Br)c1C(=O)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,481.29,3.24
CHEMBL509252,O=C(CO)N(CCO)CCO,163.17,-2.21
CHEMBL500007,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1CCC[18F],287.28,-0.92
CHEMBL470546,CC1=CC(=O)[C@@H](O)[C@]2(C)[C@H]3[C@@H](O)[C@@H]4OC(=O)[C@@H](O)C[C@H]5[C@]4(C)OC[C@@]35[C@H](O)C[C@@H]12,408.45,-0.68
CHEMBL1207990,O=S(=O)(O)NS(=O)(=O)O,177.16,-1.82
CHEMBL2310848,CCCC[C@H](CN(O)C=O)C(=O)N1Cc2ccccc2C[C@H]1C(=O)N(C)C,375.47,1.68
CHEMBL501925,Cc1ccc(NC(=O)Nc2ccccc2)c(C)c1,240.31,3.95
CHEMBL501499,O=[N+]([O-])c1ccc(-c2nnc(N3CCS(=O)(=O)CC3)s2)o1,330.35,0.94
CHEMBL501597,CN(C)C(=O)c1nc2ccc(Cl)cc2n1C,237.69,1.93
CHEMBL501650,CC1=CC=C(C=O)C(c2ccc(N(C)C)cc2)C1,241.33,3.31
CHEMBL502237,CC1=C(C)C(=O)O[C@@H]([C@]2(C)OC(=O)[C@]34CC[C@H]5[C@@H](C[C@H]6O[C@]67[C@@H](O)CCC(=O)[C@]57C)[C@@H]3CC[C@H]24)C1,484.59,3.26
CHEMBL476536,CCOCCc1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(F)cc2)c1C,401.5,4.57
CHEMBL153717,O=C(NCC/C=C/c1ccccc1)c1ccccc1CN1CCc2ccc(O)cc2C1,412.53,4.78
CHEMBL503814,NC(=S)N/N=C/CC(=O)c1ccccc1,221.29,1.08
CHEMBL526183,CC(=O)N[C@H]1CN(CCCCCCO)C(=O)[C@H](O)[C@@H]1O,288.34,-1.39
CHEMBL536166,Br.CCCCCCCn1c2c(c(=N)c3c1CCC3)CCCC2,367.38,4.88
CHEMBL537860,COc1ccccc1C/N=C(\N)c1cc2cc(F)ccc2[nH]1.Cl,333.79,3.64
CHEMBL538195,Cn1nc(C(=O)NCCO)c2c1-c1nc(Nc3ccccc3)ncc1CC2,364.41,1.44
CHEMBL501613,C#CC(C)(O)CC,98.14,0.78
CHEMBL501618,C/C=C/C(=O)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,383.25,4.22
CHEMBL506172,Nc1nc(N)nc(SCC(=O)NCc2ccc(F)cc2)n1,308.34,0.58
CHEMBL500308,O=C(Cc1ccccc1)Nc1cccc(C(=O)/C=C(\O)C(=O)O)c1,325.32,2.58
CHEMBL502212,CC(C)=C1C=C(CN2CCCC2=O)C(=O)O1,221.26,1.39
CHEMBL502494,CCn1ncc2c(-c3cncc(C)c3)c(/C=C/C(=O)O)cnc21,308.34,2.92
CHEMBL538460,N#Cc1c(O)nc(N)nc1-c1cccc(Cl)c1,246.66,1.96
CHEMBL541764,CCCCCCS(=O)(=O)NCCCc1c[nH]c(N)n1.Cl,324.88,1.85
CHEMBL541771,CN1CCC[C@H]1c1ccc[n+](C)c1.[I-],304.17,-1.72
CHEMBL539442,CC(=O)Nc1cc(F)c(C(=O)O)cc1NC(C)=O,254.22,1.44
CHEMBL541185,Cn1c(=O)c2[nH]c3cccnc3c2n(C)c1=O,230.23,0.11
CHEMBL504419,COc1ccc(CC(=O)NC(N/C(=N/C#N)Nc2ccc(F)c(F)c2)C(C)(C)C)cc1OC,459.5,3.55
CHEMBL507542,C=C(C)[C@H]1[C@@H]2C[C@@H](C)CC[C@H]2C(C)=C[C@H]1O,220.36,3.55
CHEMBL499823,COc1cccc(N2c3ccc(Cl)cc3S(=O)(=O)c3c(N)n[nH]c32)c1,376.83,3.27
CHEMBL4116114,O=C(N[C@@H]1CCOC1)c1cccc(-n2ncc3cc(OS(=O)(=O)O)ccc32)c1,403.42,1.73
CHEMBL500377,CN(C)c1ccc(C2=NC(C)(C)C(C)(C)N2O)cc1,261.37,2.76
CHEMBL505285,CN(C)c1ccc(/C=N/NC(=O)Nc2nc3c(ccc4ccccc43)s2)cc1,389.48,4.67
CHEMBL500269,CSCCNC(=O)NS(=O)(=O)c1cccc(Cl)c1,308.81,1.69
CHEMBL500286,Cc1ncc(C2CCCN2C)c2c1[nH]c1ccccc12,265.36,3.79
CHEMBL494682,CC(C)(O)CCN1CCC(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,373.32,3.6
CHEMBL490449,Cc1nc(C)c(CN2CCN(C(=O)c3ccc(Cl)cc3Cl)CC2)nc1C,393.32,3.67
CHEMBL525206,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1CCCCCF,316.33,-0.14
CHEMBL503204,NC(=S)N1N=C(c2ccccc2)CC1c1ccccc1Cl,315.83,3.73
CHEMBL4116117,O=C(O)[C@H]1NCC[C@@H]1c1cccc(C(F)(F)F)c1,259.23,2.24
CHEMBL503606,Oc1ccccc1-c1cc[nH]n1,160.18,1.78
CHEMBL4116118,CCOc1ccccc1C1CN(c2nc(-c3ccncc3)cc(=O)n2C)CCN1,391.48,2.39
CHEMBL152893,CC(C)c1sc(-c2ccccc2)c(C2CCCCC2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],464.6,1.86
CHEMBL4115984,O=C(CC(=O)Nc1cccc(C(=O)O)c1)NCCCNCc1ccc(-c2ccccc2)c(Cl)c1,479.96,4.33
CHEMBL1207979,O=C(O)c1cccc(Cc2cc(Cl)ccc2OCC2CCCCC2)n1,359.85,4.98
